lon,lat,rental_uris,_bcycle_station_type,region_id,address,name,station_id,is_returning,is_renting,is_installed,num_docks_available,num_bikes_available,last_reported,num_bikes_available_types
-118.26095,34.0484,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3035&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3035&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,735 S Figueroa Street,Figueroa & 8th,bcycle_lametro_3035,1,1,1,9,14,1773087552,"{'electric': 0, 'smart': 0, 'classic': 14}"
-118.23253,34.03919,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3036&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3036&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,1301 Willow Street,Willow & Mateo,bcycle_lametro_3036,1,1,1,13,2,1773087552,"{'electric': 0, 'smart': 0, 'classic': 2}"
-118.23128,34.0348,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3037&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3037&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,699 S Imperial St,Imperial & 7th,bcycle_lametro_3037,1,1,1,8,10,1773087552,"{'electric': 0, 'smart': 0, 'classic': 10}"
-118.26636,34.05357,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3040&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3040&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,1234 Wilshire Blvd,Wilshire & Witmer,bcycle_lametro_3040,1,1,1,0,5,1773087552,"{'electric': 1, 'smart': 0, 'classic': 4}"
-118.23881,34.0493,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3042&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3042&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,369 E First Street,1st & Central,bcycle_lametro_3042,1,1,1,17,11,1773087552,"{'electric': 0, 'smart': 0, 'classic': 11}"
-118.25667,34.02851,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3045&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3045&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,1850 San Pedro St,18th & San Pedro,bcycle_lametro_3045,1,1,1,12,2,1773087552,"{'electric': 2, 'smart': 0, 'classic': 0}"
-118.24749,34.05287,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3046&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3046&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,201 South Hill Street,2nd & Hill,bcycle_lametro_3046,1,1,1,9,8,1773087552,"{'electric': 1, 'smart': 0, 'classic': 7}"
-118.2664,34.03998,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3047&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3047&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,515 W Pico Street,Pico & Flower,bcycle_lametro_3047,1,1,1,16,20,1773087552,"{'electric': 1, 'smart': 0, 'classic': 19}"
-118.23535,34.04169,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3048&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3048&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,1210 East 5th Street,5th & Hewitt,bcycle_lametro_3048,1,1,1,10,6,1773087552,"{'electric': 0, 'smart': 0, 'classic': 6}"
-118.25359,34.05697,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3049&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3049&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,945 W 2nd Street,2nd & Figueroa,bcycle_lametro_3049,1,1,1,12,6,1773087552,"{'electric': 0, 'smart': 0, 'classic': 6}"
