NAME,median_income,per_capita_income,gini_index,pop_below_poverty,total_population,avg_household_size,no_vehicle_households,total_households,total_workers,transit_commuters,bike_commuters,walk_commuters,wfh_commuters,mean_travel_time,state,county,tract,pct_no_vehicle,pct_transit,pct_bike,pct_walk,pct_wfh,pct_poverty,GEOID
Census Tract 9013; Los Angeles County; California,67984,20394.0,0.4746,643,2206,3.93,22,560,570,0,0,0,67,503,06,037,901300,3.9,0.0,0.0,0.0,11.8,29.1,06037901300
Census Tract 9100.02; Los Angeles County; California,60417,21097.0,0.3805,1604,7240,3.66,92,1979,2710,0,0,21,107,2603,06,037,910002,4.6,0.0,0.0,0.8,3.9,22.2,06037910002
Census Tract 9102.10; Los Angeles County; California,125031,43624.0,0.3407,280,7665,3.4,54,2255,3423,14,0,0,399,3024,06,037,910210,2.4,0.4,0.0,0.0,11.7,3.7,06037910210
Census Tract 9102.11; Los Angeles County; California,224444,66710.0,0.2735,20,1677,3.83,7,438,768,5,0,0,69,699,06,037,910211,1.6,0.7,0.0,0.0,9.0,1.2,06037910211
Census Tract 9102.12; Los Angeles County; California,110673,52790.0,0.5096,413,3143,2.95,56,1062,1375,0,0,14,111,1264,06,037,910212,5.3,0.0,0.0,1.0,8.1,13.1,06037910212
Census Tract 9102.13; Los Angeles County; California,127202,44034.0,0.442,295,1530,3.18,8,481,724,0,9,0,71,653,06,037,910213,1.7,0.0,1.2,0.0,9.8,19.3,06037910213
Census Tract 9102.14; Los Angeles County; California,113300,40539.0,0.3448,236,5499,3.45,45,1586,2648,55,0,3,209,2439,06,037,910214,2.8,2.1,0.0,0.1,7.9,4.3,06037910214
Census Tract 9102.15; Los Angeles County; California,91648,32125.0,0.3848,252,6659,3.3,62,2010,3257,15,0,0,377,2880,06,037,910215,3.1,0.5,0.0,0.0,11.6,3.8,06037910215
Census Tract 9102.16; Los Angeles County; California,130385,38447.0,0.3314,184,5257,3.72,18,1410,2306,6,0,0,219,2087,06,037,910216,1.3,0.3,0.0,0.0,9.5,3.5,06037910216
Census Tract 9102.17; Los Angeles County; California,106000,35309.0,0.4065,650,5356,3.37,70,1590,2045,0,0,0,317,1728,06,037,910217,4.4,0.0,0.0,0.0,15.5,12.1,06037910217
Census Tract 9102.18; Los Angeles County; California,76603,29052.0,0.4082,601,4591,3.09,115,1484,1787,48,0,0,200,1587,06,037,910218,7.7,2.7,0.0,0.0,11.2,13.1,06037910218
Census Tract 9103.01; Los Angeles County; California,125242,50229.0,0.3752,425,4332,2.68,57,1608,1941,66,0,0,144,1797,06,037,910301,3.5,3.4,0.0,0.0,7.4,9.8,06037910301
Census Tract 9103.02; Los Angeles County; California,104932,45541.0,0.4379,647,6138,2.98,36,2061,2636,24,0,24,465,2171,06,037,910302,1.7,0.9,0.0,0.9,17.6,10.5,06037910302
Census Tract 9104.01; Los Angeles County; California,83277,33292.0,0.3657,317,6096,2.96,12,2055,2783,24,0,1,411,2372,06,037,910401,0.6,0.9,0.0,0.0,14.8,5.2,06037910401
Census Tract 9104.04; Los Angeles County; California,68301,22355.0,0.3462,728,4863,3.99,29,1219,1999,49,0,0,119,1880,06,037,910404,2.4,2.5,0.0,0.0,6.0,15.0,06037910404
Census Tract 9104.05; Los Angeles County; California,41047,14996.0,0.42,1882,5882,3.35,289,1740,2005,72,0,30,105,1900,06,037,910405,16.6,3.6,0.0,1.5,5.2,32.0,06037910405
Census Tract 9105.01; Los Angeles County; California,29310,14657.0,0.4469,1933,5460,2.6,446,2101,1877,50,15,37,109,1768,06,037,910501,21.2,2.7,0.8,2.0,5.8,35.4,06037910501
Census Tract 9105.02; Los Angeles County; California,50303,17190.0,0.4363,1427,4875,3.58,74,1362,1840,11,0,23,66,1774,06,037,910502,5.4,0.6,0.0,1.2,3.6,29.3,06037910502
Census Tract 9105.04; Los Angeles County; California,62207,19485.0,0.325,630,4363,3.73,16,1169,1636,26,0,0,133,1503,06,037,910504,1.4,1.6,0.0,0.0,8.1,14.4,06037910504
Census Tract 9105.05; Los Angeles County; California,70665,22113.0,0.3789,279,3251,3.78,0,861,1205,4,0,0,35,1170,06,037,910505,0.0,0.3,0.0,0.0,2.9,8.6,06037910505
Census Tract 9106.01; Los Angeles County; California,64805,21369.0,0.3487,983,6449,3.76,105,1705,2779,20,56,3,155,2624,06,037,910601,6.2,0.7,2.0,0.1,5.6,15.2,06037910601
Census Tract 9106.02; Los Angeles County; California,48032,21410.0,0.4804,1036,4867,3.32,154,1464,2028,39,10,32,149,1879,06,037,910602,10.5,1.9,0.5,1.6,7.3,21.3,06037910602
